answer,clue
AMBER,"With 5-Down, some emergency bulletins"
AMBI,Both: Prefix
AMBIT,Boundary
AMBLE,Stroll
AMBO,Early pulpit
AMBOY,"Perth ___, N.J."
AMBS,"State reps., of sorts"
AMC,"""The Walking Dead"" channel"
AMCS,Gremlins and Hornets of old autodom
AME,"1952 hit ""Botch-___"""
AMEAN,"""You're ___ One, Mr. Grinch"""
AMEBA,Microscopic creature
AMEER,Mideast potentate
AMEMO,See 16-Across
AMEN,"""You said it, brother!"""
AMEND,Modify
AMENS,Believers' comments
AMENU,"""I'd like to see ___"""
AMER,"The ""A"" of U.S.A.: Abbr."
AMERE,"""___ bag of shells"" (Ralph Kramden malapropism)"
AMES,"___ Brothers, who sang ""Rag Mop"""
AMESS,Make ___ (befoul)
AMEX,Visa alternative
AMF,Letters on some bowling lanes
AMFAR,H.I.V. research org.
AMFM,Radio switch
AMGEN,Major biotech company
AMI,Reunion pal
AMIA,"""What ___ mind reader?"
AMICA,Female friend: Lat.
AMICE,Garment worn partly under an alb
AMICI,___ curiae (friends of the court)
AMICO,Firenze friend
AMID,During
AMIDE,Potassium ___
AMIE,Familiar femme
AMIEL,"""Entrapment"" director Jon"
AMIES,French girlfriends
AMIGA,Old computer
AMIGO,Friend in a sombrero
AMILE,Miss by ___
AMIN,Ugandan tyrant
AMIND,Start of the United Negro College Fund slogan
AMINE,"Serotonin, e.g."
AMINO,Kind of acid
AMINT,Make ___ (get rich)
AMIR,Mideast chief: Var.
AMIRS,Princes abroad
AMIS,"""Lucky Jim"" novelist"
AMISH,Mennonites
AMISS,Wrong
AMITE,Somewhat
AMITY,Concord
AMMAN,Capital of Jordan
AMMO,What might go on a belt
AMMOS,Bullets and such
AMNIO,"Fetal development test, for short"
AMNOT,"""I ___ amused!"""
AMO,Latin lover's word
AMOCO,Exxon alternative
AMOF,"""I ___ the opinion ..."""
AMOI,French call for help
AMOK,Out of control
AMOLE,Whack-___
AMON,Egypt's ___-Ra
AMONG,___ friends
AMOO,"""Here ___, there ..."""
AMOOD,In ___ (irritable)
AMOON,Many ___ (quite some while)
AMOR,Roman god of love
AMORE,Andrea Bocelli's 2006 platinum-selling album
AMORS,Cherubs
AMORT,"Lifeless, old-style"
AMORY,"He wrote ""The Proper Bostonians"""
AMOS,Book after Joel
AMOST,?ôIt?Æs ___ Unusual Day?ö (1948 hit song)
AMOUR,Intrigue
AMOVE,Get ___ on
AMOY,Island in the Taiwan Strait
AMP,Unit of current
AMPAS,Oscars grp.
AMPED,Jazzed
AMPLE,Enough
AMPLY,Without skimping
AMPM,Alarm clock toggle
AMPS,Concert hall equipment
AMPUP,Excite
AMS,Early hrs.
AMSO,"""Are not!"" elicitor"
AMT,Qty.
AMTOO,Schoolyard retort
AMTS,Quantities: Abbr.
AMU,Asia's ___ Darya River
AMUCK,Bad way to run
AMULE,Stubborn as ___
AMUR,Tatar Strait feeder
AMUSE,Provide divertissement
AMUST,Not to be missed
AMWAY,Giant in health and beauty products
AMY,"With 60-Across, author of ""The Joy Luck Club"""
AMYL,___ nitrate (stimulant)
AMYS,Author Tan and others
ANA,"Santa ___, Calif."
ANACE,Within ___ of (near)
ANACT,"""It's all ___"""
ANAG,"Stands up for dustpans, say: Abbr."
ANAIL,"""For want of ___ ..."""
ANAIR,Have ___ of (display)
ANAIS,"""Henry & June"" character"
ANAL,___-retentive
ANAME,"Jim Croce's ""I Got ___"""
ANAP,Take ___ (snooze)
ANARM,Cost ___ and a leg
ANART,"""Cookery is become ___"": Burton"
ANAS,Literary olios
ANASS,"""Why, what ___ am I!"" (Hamlet soliloquy line)"
ANAT,Med. school subject
ANC,Ruling party in Johannesburg: Abbr.
ANCE,Ending to avoid?
ANCHO,Dried chili pepper on Tex-Mex menus
ANCON,Cornice support
ANCY,Suffix with expect
AND,"The ""et"" of et cetera"
ANDA,"Lawrence Welk's ""one""/""two"" connector"
ANDES,El Misti's range
ANDGO,Stop or touch follower
ANDI,"""Me, myself ___"""
ANDIE,"MacDowell of ""Groundhog Day"""
ANDLO,"""___, the angel of the Lord came upon them"": Luke"
ANDMY,Song words before gal or shadow
ANDON,"""___ the seventh day ..."""
ANDOR,Some choice words
ANDRE,Novelist Gide
ANDRO,Man: Prefix
ANDS,Added details
ANDSO,"Ellerbee's ""___ It Goes"""
ANDUP,Ending words in a price
ANDY,Gump of the comics
ANDYS,Some male dolls
ANE,"""Wheel of Fortune"" purchase"
ANEAR,Lend ___
ANEED,Have ___ for
ANEEL,Slippery as ___
ANEG,"Rare blood type, for short"
ANEGG,Lay ___ (bomb)
ANELE,"Anoint, archaically"
ANEMO,Meter starter
ANEND,Come to ___
ANENT,Concerning
ANERA,End of ___
ANES,Chemical suffixes
ANEST,"""___ of Simple Folk"" (Sean O'Faolain novel)"
ANET,Turn ___ profit
ANEW,De novo
ANEYE,Keep ___ out for
ANG,Director Lee
ANGE,Haloed one: Fr.
ANGEL,Jockey Cordero
ANGER,Ire
ANGIE,"She's asked ""When will those clouds all disappear?"" in a 1973 #1 hit"
ANGIO,"Hospital procedure, for short"
ANGLE,Journalist's idea
ANGLO,WASP part
ANGRY,Furious
ANGST,Inner tension
ANGUS,Black ___ cattle
ANI,Black cuckoo
ANICE,"""Have ___ day"""
ANIGH,"Near, poetically"
ANIL,Deep blue
ANILE,Like a crone
ANILL,"""It's ___ wind ..."""
ANILS,Dye-yielding shrubs
ANIM,Music-score abbr.
ANIMA,Jungian principle
ANIME,Japanese cartoon art
ANIN,Has ___ (knows somebody)
ANION,Electrolysis particle
ANIS,Spanish liqueur
ANISE,Biscotto flavoring
ANIT,Pick ___ (fault-find)
ANITA,Baker of soul
ANJOU,Green-skinned fruit
ANKA,Singer Paul
ANKE,Huber of women's tennis
ANKH,Egyptian cross
ANKHS,Looped crosses
ANKLE,Hopping joint?
ANN,Raggedy ___
ANNA,"""The King and I"" woman"
ANNAL,Record book record
ANNAN,Kofi of the U.N.
ANNAS,Trollope lady and namesakes
ANNE,Sister of Charles
ANNEE,"Mars to mars, say"
ANNES,Queen ___ (Maryland county)
ANNEX,Building addition
ANNI,Years in old Rome
ANNIE,"Broadway musical that opens with ""Maybe"""
ANNO,___ regni (in the year of the reign)
ANNOY,Get to
ANNS,St. ___ Head Lighthouse (Welsh landmark)
ANNUL,Cancel
ANNUM,Per ___
ANNUS,"CD, e.g.?"
ANO,It's got mayo
ANOA,Wild Indonesian bovine
ANOAK,Strong as ___
ANOD,"""And giving ___, up the chimney he rose"""
ANODE,Battery terminal
ANOLD,"""You can't teach ___..."""
ANON,"Soon, in verse"
ANONO,"""That's ___"" (cautionary Roy Orbison song)"
ANOS,Calendario spans
ANOSE,Win by ___
ANOTE,Make ___ of
ANOUK,"Co-star of Marcello in ""La Dolce Vita"""
ANOUT,Provide ___ (allow to escape)
ANOX,"""He eateth grass as ___"": Job 40:15"
ANS,True or false: Abbr.
ANSA,"Looped handle, in archaeology"
ANSAE,Handles
ANSE,"Father in ""As I Lay Dying"""
ANSEL,Lensman Adams
ANSER,Goose genus
ANSON,"Williams of ""Happy Days"""
ANT,Honeydew eater
ANTA,Stage org.
ANTAE,Architectural piers
ANTAS,Architectural piers
ANTE,"Fork over, with ""up"""
ANTED,Chipped in
ANTES,Pot starters
ANTH,Literary collection: Abbr.
ANTI,Beginning to knock?
ANTIC,Bit of hijinks
ANTIS,Con men?
ANTON,"Chekhov who wrote ""Uncle Vanya"""
ANTRA,Bone cavities
ANTRE,Cavern
ANTS,Queen and workers
ANTSY,Nervous about what's ahead
ANTZ,"Movie that came out about the same time as ""A Bug's Life"""
ANU,Australian singer Christine
ANUN,"Faulkner's ""Requiem for ___"""
ANUT,"""Everybody Loves ___"" (Johnny Cash title track)"
ANVIL,Blacksmith's work site
ANWAR,Egypt's Sadat
ANY,At least one
ANYA,Novelist Seton
ANZA,San Francisco's founder Juan Bautista de___
ANZAC,Down Under soldier
ANZIO,W.W. II beachhead south of Rome
AOC,"House member with 11+ million Twitter followers, informally"
AOK,Copacetic
AOKAY,"""Good to go"""
AOKI,Golfer Isao ___
AOKS,Breezy assents
AOL,Co. in a 2001 merger with Time Warner
AOLER,Many an early computer user
AON,Get an ___ (ace)
AONE,Steak sauce brand
AORB,Simplest of choices
AORTA,Heart line
AOUT,Month of l'ete
APA,Therapists' org.
APACE,Without delay
APAGE,Take ___ from someone's book
APAIL,"""... ___ of water"""
APAIN,Be ___ in the neck
APAIR,"""Grow ___!"" (""Man up!"")"
APAL,"""C'mon, be ___"""
APAR,On ___ with (comparable to)
APART,On the side
APASS,Give ___ (let off)
APAST,Woman with ___
APAT,Pit-___
APB,"Radioed info, for short"
APBIO,H.S. science class for ambitious students
APBS,"Calls for squads, in short"
APE,Gorilla
APEAK,Vertical
APEAR,"""...partridge in ___ tree"""
APED,Acted like
APEEK,Sneak ___
APEEP,Without ___ (quietly)
APEG,Take down ___
APER,Parrot
APERS,Mimics
APERY,Mimic's activity
APES,Parrots
APET,"Sullen, after ""in"""
APEX,High point
APGAR,Kind of test for newborns
APHID,Ladybug's prey
APHIS,Orchard pest
API,Bee: Prefix
APIA,Samoan capital
APIAN,Of concern to beekeepers
APIE,"""...baked in ___"""
APIG,Like ___ in a poke
APILE,Heaps
APIN,"""... on the head of ___?"""
APING,Mimicking
APINT,"""___ of sweat will save a gallon of blood"": Patton"
APIP,"""You're ___, ya know that?"": Archie Bunker"
APIPE,"Foucault's ""This Is Not ___"""
APIS,Egyptian bull god
APISH,Imitative
APLAN,"""Sounds like ___!"""
APLAY,"Beckett's ""Endgame: ___ in One Act"""
APLEA,Cop ___
APLEY,"John P. Marquand's ""The Late George ___"""
APLIT,"H.S. English course, for short"
APLOT,Hatch ___
APLUS,High grade
APNEA,Sleep problem
APO,Part of a G.I.'s address
APOC,Part of some Bibles: Abbr.
APOD,Like peas in ___
APODS,Footless amphibians
APOEM,"MacLeish said it ""should not mean / But be"""
APOET,"""___ can survive everything but a misprint"": Oscar Wilde"
APOKE,A pig in ___
APOLO,Speed skater ___ Anton Ohno
APOOR,"""That's ___ excuse for ?à"""
APOP,For each item
APORT,This is left to the captain
APOS,Blood drive spec.
APOSE,Strike ___ (model)
APOST,"Words after ""deaf as"" or ""dumb as"""
APOT,"Words before ""of money"" or ""of gold"""
APOX,"""___ on both your houses!"""
APP,Smartphone download
APPAL,Shock: Var.
APPEL,Fencing movement
APPL,Special use: Abbr.
APPLE,Company co-founded by 57-Across
APPLY,Put in one's name (for)
APPS,Smartphone downloads
APPT,Datum for a secy.
APPTS,Engagement calendar listings: Abbr.
APR,Mo. when Shakespeare was born
APRES,"Post, in Paris"
APRIL,Shower time
APRON,Cover in the kitchen
APRS,Lender terms: Abbr.
APS,Coll.-level classes
APSE,Recess
APSES,Church recesses
APSIS,Orbital point
APSO,Lhasa ___
APSOS,Lhasa ___ (dogs)
APT,To the point
APTED,"Michael who directed the Bond film ""The World Is Not Enough"""
APTER,More appropriate
APTLY,In a suitable way
APTNO,Metropolitan address abbr.
APTS,Many N.Y.C. dwellings
APTTO,"Probably will, after ""is"""
APU,"""The Simpsons"" clerk"
AQABA,Jordan's only port
AQI,Smog stat.
AQUA,Cool shade
AQUAE,Waters: Lat.
AQUAS,Waters
AQUI,"Here, in Seville"
ARA,"Rudy's coach in ""Rudy"""
ARAB,"One with an ""al-"" in his name, often"
ARABS,One side in a 1967 war
ARABY,"Sheik's land, in poetry"
ARACE,"""It's ___ to the finish"""
ARAG,"""She's ___ doll"" (4 Seasons lyric)"
ARAGE,In ___ (seething)
ARAID,"""This is ___!"" (police cry)"
ARAIL,Thin as ___
ARAL,Asia's fast-shrinking ___ Sea
ARAM,Composer Khachaturian
ARAN,"___ Islands, group at the mouth of Galway Bay"
ARAP,Not give ___ (not care)
ARAS,Parseghian et al.
ARAT,Smell ___ (be suspicious)
ARAW,Get ___ deal
ARAY,Give ___ of hope
ARB,"Sophisticated trader, for short"
ARBOL,Part of a Spanish forest
ARBOR,Shady spot
ARBS,Wall St. figures
ARBYS,Restaurant chain founded by the Raffel brothers (hence the name)
ARC,Line made with a compass
ARCA,Old Spanish treasure chest
ARCED,Curving
ARCH,Keystone place
ARCHE,Prefix with type
ARCHI,Primitive: Prefix
ARCHY,Don Marquis character
ARCO,Direction to a cellist
ARCS,Compass tracings
ARD,Suffix with drunk
ARDEN,"""As You Like It"" forest"
ARDOR,Zeal
ARDUA,Per ___ ad astra (motto of the Royal Canadian Air Force)
ARE,Live
AREA,Geometric calculation
AREAL,"""You're ___ pal"""
AREAR,Toward the back
AREAS,Fields
ARECA,Asian palm
ARED,"Cezanne's ""Boy in ___ Vest"""
AREED,Thin as ___
AREEL,Spinning
AREGO,"""All systems ___"""
AREI,"""Whoever you ___ love you"" (Burt Bacharach lyric)"
AREIN,"""The results ___!"""
ARENA,Sports facility
ARENO,"""Thy servants ___ spies"": Genesis 42:11"
ARENS,Former Israeli minister Moshe
ARENT,"""___ you coming?"""
AREO,Mars: Prefix
ARES,Enemy of Wonder Woman
ARESO,"""You ___ Beautiful"""
AREST,"""Give it ___!"""
ARETE,Alpine feature
AREUP,"""Your 15 minutes of fame ___!"""
AREWE,"""___ there yet?"""
ARF,A little ruff
ARFED,Yapped like a dog
ARFS,Pounds' sounds
ARG,Neighbor of Braz.
ARGH,Cry of frustration
ARGO,"It survived the crashing rocks, in myth"
ARGON,.93% of the earth's atmosphere
ARGOS,Old Peloponnesian power
ARGOT,Insider's vocabulary
ARGUE,"Present, as a case"
ARGUS,100-eyed giant of myth
ARHAT,Enlightened Buddhist
ARI,"The Cards, on scoreboards"
ARIA,Pavarotti piece
ARIAL,Sans-serif typeface
ARIAN,Sect follower?
ARIAS,Met highlights
ARIB,Bust ___ (laugh hard)
ARICH,"""If I Were ___ Man"""
ARID,Dry as a bone
ARIDE,Take for ___
ARIE,1997 Indy 500 winner ___ Luyendyk
ARIEL,"""The Tempest"" sprite"
ARIES,Sign of spring
ARIL,Seed appendage
ARILS,Seed covers
ARIOT,Rampaging
ARIP,"""What ___!"" (""That's rich!"")"
ARIS,"""Exodus"" hero and others"
ARISE,Come up
ARIZ,48th state: Abbr.
ARK,Biblical vessel
ARKIN,Actor Alan
ARKS,They're open on Saturdays
ARLEN,"""Stormy Weather"" composer"
ARLES,French city whose last two letters are silent
ARLO,"Janis's partner, in the comics"
ARLOS,Author Bates et al.
ARM,Pitcher's asset
ARMA,"First word of Virgil's ""Aeneid"""
ARMAS,1980s major-league slugger Tony
ARMCO,Steel giant founded in 1899
ARME,French weapon
ARMED,Piece-keeping?
ARMEE,Lafayette's forces
ARMER,Munitions supplier
ARMET,Medieval helmet
ARMEY,Majority leader Dick
ARMOR,Arrow stopper
ARMS,"Sets, as a security system"
ARMY,___ brat
ARN,Prince Valiant's son
ARNAZ,Ball's partner
ARNE,"""Rule, Britannia"" composer"
ARNEB,It's in Lepus
ARNEL,Synthetic fiber
ARNIE,"""The Governator"""
ARNO,It flows through Florence
AROAR,More than loud
AROCK,Hard as ___
AROD,Longtime Yankee nickname
AROLE,Have ___ to play (be of use)
AROLL,On ___ (doing well)
AROMA,Something in the air
ARON,"""East of Eden"" character"
ARONI,Rice-___
AROO,Buck tail?
AROOM,"Forster's ""___ With a View"""
AROPE,Soap-on-___ (bath buy)
AROSE,Stopped lying
AROW,"Aligned, with ""in"""
ARP,Duchamp contemporary
ARPA,Angelo's instrument
ARPEL,Last name in the skin care industry
ARPS,Dadaist collection
ARR,Flight board abbr.
ARRAN,Firth of Clyde island
ARRAS,Rich tapestry
ARRAU,He recorded all 32 Beethoven piano sonatas in the 1960s
ARRAY,Impressive display
ARRET,"Stop, in Paris"
ARRID,Ban rival
ARRIS,"""Mrs. ___ Goes to Paris"""
ARROW,Symbol on a One Way sign
ARROZ,___ con pollo (Spanish dish)
ARRR,Pirate's interjection
ARRS,Column on an airport screen: Abbr.
ARS,___ Nova (musical style)
ARSE,Oxford bottom
ARSES,"Backsides, to Brits"
ARSIS,"Upbeat, in music"
ARSON,Match play?
ART,Piece by Matisse
ARTA,Greek city known to the ancients as Ambracia
ARTE,Sicilian skill
ARTEL,Soviet cooperative
ARTES,Partner of ciencias
ARTI,Basic drawing class
ARTIE,Swing clarinetist Shaw
ARTIS,Hoopster Gilmore
ARTOF,"Sun Tzu's ""The ___ War"""
ARTOO,"___-Detoo of ""Star Wars"""
ARTS,"The ""A"" in N.E.A."
ARTSY,Too-too
ARTUR,Pianist Schnabel
ARTY,Chichi
ARU,Indonesia's ___ Islands
ARUBA,Island near Curacao
ARUG,""".... as a bug in ___"""
ARULE,"""Any fool can make ___, and every fool will mind it"": Thoreau"
ARUM,Calla lily family
ARUMS,"Wild callas, e.g."
ARUN,Give ___ for one's money
ARUSH,In ___ (hurriedly)
ARUT,In ___ (stuck)
ARY,Document ender?
ARYA,"Maisie Williams's role on ""Game of Thrones"""
ARYAN,Early Indo-European
ARYL,"Benzene derivative, for one"
ASA,Comparison's middle
ASABC,How easy things might be
ASAD,"""Like ___ Song"" (John Denver hit)"
ASADA,Carne ___ (burrito filler)
ASAFE,In ___ place
ASAHI,Japanese beer brand
ASAIL,"Repeated cry from Mercutio in ""Romeo and Juliet"""
ASAIR,Light ___
ASALE,See 38-Down
ASAMI,"""Same here"""
ASAN,Strong ___ ox
ASANA,Yoga pose
ASAP,Order ender
ASAS,Gray and others
ASBAD,Equally poor
ASBIG,See 26-Down
ASCAP,Org. that tracks numbers
ASCAR,Leave ___ (be permanently damaging)
ASCH,Author Sholem
ASCI,Spore cases
ASCII,Computer text can be written in this
ASCOT,It may be secured with a pin
ASDF,"Left hand's starting position, for a touch typist"
ASDOI,"""Same here!"""
ASE,Suffix with lip-
ASEA,On the briny
ASEAT,"""Save me ___"""
ASEC,"""Hold on ___!"""
ASEED,Plant ___ (give an idea)
ASES,"""A hillside near ___ farm"" (opening ""Peer Gynt"" scene)"
ASET,"""___ of Six"" (Joseph Conrad story collection)"
ASFAR,To the same extent
ASFAT,Similarly overweight
ASFIT,Comparable to a fiddle
ASFOR,In regard to
ASH,Workable wood
ASHBY,Film director Hal
ASHE,"""Off the Court"" writer"
ASHED,"Flicked, in a way"
ASHEN,Visibly frightened
ASHER,One of the 12 tribes of Israel
ASHES,Contents of some urns
ASHIP,"""___ of fools sailing on"" (Wang Chung lyric)"
ASHOE,"""?à lived in ___"""
ASHOT,Give ___ in the arm
ASHY,Grayish
ASI,"""___ made clear ..."""
ASIA,One flu source
ASIAM,Just the way you see me
ASIAN,Like about 25% of legal U.S. immigrants
ASICS,Big name in athletic shoes
ASIDE,Tangent line?
ASIDO,"""Like me"""
ASIE,Japon's place
ASIF,"""Keep dreaming!"""
ASIGN,"""It's ___ of the times"""
ASIM,"""___ sure you know ..."""
ASIN,Z ___ zebra
ASIP,Take ___ of (sample)
ASIR,Province of Saudi Arabia
ASIS,Sale tag words
ASIT,___ were (so to speak)
ASK,Put it to
ASKA,"""___ silly question..."""
ASKED,Like invitees
ASKER,"Press conference attendee, at times"
ASKEW,Off-kilter
ASKIN,"Welcome one's guests, maybe"
ASKME,"""___ Another"" (NPR game show)"
ASKNO,___ quarter (refuse mercy)
ASKOF,Request from
ASKS,Inquires
ASKTO,Invite out for
ASKUP,Invite to one's penthouse suite
ASL,Handy communication syst.?
ASLAN,"The lion in ""The Lion, the Witch and the Wardrobe"""
ASLAP,"""What ___ of the face is here!"": Thomas Paine, ""Common Sense"""
ASLEW,Heaps
ASLIP,"""There's many ___ ..."""
ASLOW,"""It must have been ___ news day"""
ASMAD,Comparable to a wet hen
ASNAP,Something easy
ASNER,Seven-time Emmy winner
ASNEW,Good ___
ASNIT,"Peeved, after ""in"""
ASNO,___ other (uniquely)
ASNOT,Like ___ (with equal probability)
ASO,Japan's largest active volcano
ASOAK,Drenched
ASOF,Starting
ASOK,"""Dilbert"" character who was reincarnated as his own clone"
ASOLD,___ as the hills
ASON,Chacun ___ gout (each to his own taste)
ASONE,Together
ASONG,"""With ___ in My Heart"""
ASOP,Dripping wet
ASORE,Stick out like ___ thumb
ASORT,Of ___ (somewhat)
ASOU,Not worth ___
ASOUL,Nary ___
ASP,Nile reptile
ASPCA,Pet welfare org.
ASPEN,Poplar
ASPER,According to
ASPIC,Jellied garnish
ASPIE,Easy ___
ASPIN,Clinton's first defense secretary
ASPOT,In ___ (uncomfortably placed)
ASPS,Ancient symbols of royalty
ASRED,Comparable to a beet
ASS,Pompous person
ASSAD,Syrian president
ASSAI,"Very, in music"
ASSAM,Kind of tea from Asia
ASSAY,Analyze
ASSE,African fox
ASSES,Yo-yos
ASSET,Plus
ASSHE,"""Steady ___ goes"""
ASSIN,Guilty ___
ASSN,Part of M.P.A.A.: Abbr.
ASSNS,Grps.
ASSOC,Org.
ASST,Abbr. in some job titles
ASSTS,Helpers: Abbr.
ASSYR,Like King Sargon II: Abbr.
AST,Puerto Rico hrs.
ASTA,Nick and Nora's pooch
ASTAB,Take ___ at (try)
ASTAR,"""Everybody Is ___"" (1970 hit)"
ASTEP,"""It's ___ in the right direction"""
ASTER,Purplish bloom
ASTEW,In ___ (upset)
ASTHE,___ crow flies
ASTI,Piedmont city
ASTIN,"Sean of ""Stranger Things"""
ASTIR,Up and about
ASTO,For
ASTON,___ Villa (English football club)
ASTOP,Put ___ to (end)
ASTOR,"Nancy, the first woman in Parliament"
ASTR,Carl Sagan's subj.
ASTRA,"Stars, in Kansas' motto"
ASTRO,Dodger beater in the 2017 World Series
ASU,Sun Devils' sch.
ASURE,"""It's ___ bet!"""
ASWAN,City on the Nile
ASWAS,___ the custom (traditionally)
ASWE,"""___ forgive those..."""
ASYE,"""___ sow ..."""
ASYET,Heretofore
ASYLA,Safe places
ASYOU,"Shakespeare's ""___ Like It"""
ATA,___ price
ATAB,Run up ___
ATACK,Sharp as ___
ATAD,Slightly
ATAIL,"""Shake ___ Feather"" (1967 R&B hit)"
ATALE,"""Ben-Hur: ___ of the Christ"""
ATALL,Under any circumstances
ATAN,___ impasse
ATAP,Give ___ on the shoulder
ATARI,Game name
ATAT,"Giant four-legged combat walker in ""Star Wars"" films"
ATBAR,Like a case before the court
ATBAT,Up
ATBAY,Cornered
ATC,Grp. that coordinates E.T.A. and E.T.D.
ATCO,Old record label
ATE,Consumed
ATEA,___ lot (gorged oneself)
ATEAM,Top guns
ATEAR,Shed ___
ATEAT,Bothered no end
ATEE,To ___ (exactly)
ATEIN,Didn't do takeout at a restaurant
ATEIT,Suffered a face-plant
ATEM,"""Up and ___!"""
ATEN,Egyptian sun disk
ATENO,"""...___'clock scholar"""
ATEOF,"Had, as food"
ATEON,"Used, as a dinner tray"
ATES,Suffixes with sultan
ATEST,Alamogordo event
ATEUP,Thoroughly enjoyed
ATF,Fed. agency that conducts raids
ATH,Sports person: Abbr.
ATHOL,"City northwest of Worcester, Mass."
ATHOS,One of the Three Musketeers
ATHS,"Olympians, e.g.: Abbr."
ATIC,Suffix with symptom
ATIDE,"""...___ in the affairs of men"": Shak."
ATIE,End in ___
ATILT,Jousting
ATIME,"Grisham's ""___ to Kill"""
ATIP,"""Take ___ from me!"""
ATIT,Busy
ATIVE,Talk ender
ATKA,Aleutian island
ATL,Nantucket I.'s in it
ATLAS,Book that's out of this world?
ATLAW,Shingle words
ATLI,Husband of Gudrun
ATM,$ dispenser
ATMAN,Hindu soul
ATME,"""Ma! He's Making Eyes ___"" (1940 hit)"
ATMO,Prefix with sphere
ATMOS,___ Energy (big natural gas utility)
ATMS,"20's dispensers, briefly"
ATNO,14 for Si or 102 for No: Abbr.
ATNOS,B and O figures: Abbr.
ATO,___ Z (the works)
ATOB,Small step
ATOE,Stub ___
ATOI,"Yours, in Tours"
ATOLL,"Bikini, for one"
ATOM,Energy source
ATOMS,Smithereens
ATON,Went over like ___ of bricks
ATONE,Make amends
ATOOT,On ___ (reveling)
ATOP,On
ATOR,Fabric finish?
